accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.7622665166854858,0.5709323883056641,0.8061848282814026,0.7097182869911194,0.8650051951408386,0.33910316228866577,0.883131206035614,0.8317757248878479,0.0010000000474974513
0.8350743651390076,0.3872356712818146,0.8531957268714905,0.8113327026367188,0.9034267663955688,0.24035020172595978,0.906315803527832,0.8940809965133667,0.0010000000474974513
0.855967104434967,0.3353654146194458,0.8676470518112183,0.8404558300971985,0.9075804948806763,0.24053019285202026,0.9108079671859741,0.9013499617576599,0.0010000000474974513
0.8755935430526733,0.30007725954055786,0.8855284452438354,0.8619816303253174,0.9190031290054321,0.20069575309753418,0.9254201650619507,0.9148494005203247,0.0010000000474974513
0.8930041193962097,0.26746347546577454,0.9006131291389465,0.8835074305534363,0.9190031290054321,0.2010757029056549,0.9253417253494263,0.9138110280036926,0.0010000000474974513
0.893953800201416,0.2527587413787842,0.9003215432167053,0.8863564133644104,0.9293873310089111,0.16764239966869354,0.9330543875694275,0.9262720942497253,0.0010000000474974513
0.8920544385910034,0.26298800110816956,0.8991623520851135,0.8835074305534363,0.9387331008911133,0.15620140731334686,0.9395203590393066,0.9356178641319275,0.0010000000474974513
0.904400110244751,0.23664693534374237,0.909673273563385,0.8990187048912048,0.9252336621284485,0.1854320764541626,0.9278242588043213,0.9210799336433411,0.0010000000474974513
0.8961696624755859,0.23753587901592255,0.9013813138008118,0.888255774974823,0.930425763130188,0.1682939976453781,0.9331243634223938,0.9273104667663574,0.0010000000474974513
0.9132636785507202,0.209631085395813,0.9191530346870422,0.9069325923919678,0.9376947283744812,0.15529586374759674,0.9376299381256104,0.9366562962532043,0.0005000000237487257
0.9218106865882874,0.1980842798948288,0.9250876903533936,0.9186451435089111,0.9376947283744812,0.14817817509174347,0.9405010342597961,0.9356178641319275,0.0005000000237487257
0.9211775660514832,0.1984243094921112,0.9243536591529846,0.9167457818984985,0.9366562962532043,0.16020427644252777,0.9375,0.9345794320106506,0.0005000000237487257
0.9230769276618958,0.18897995352745056,0.9268370866775513,0.918328583240509,0.9366562962532043,0.1371098905801773,0.9415448904037476,0.9366562962532043,0.0005000000237487257
0.9230769276618958,0.19330845773220062,0.9252068996429443,0.9202279448509216,0.940809965133667,0.1378798931837082,0.940625011920929,0.9376947283744812,0.0005000000237487257
0.9227603673934937,0.20513160526752472,0.925239622592926,0.9167457818984985,0.940809965133667,0.14102192223072052,0.9414225816726685,0.9345794320106506,0.0005000000237487257
